id,ORG,GPE,DATE,NORP,PERSON,MONEY,CARDINAL,LOC,ORDINAL,TIME,QUANTITY,FAC,WORK_OF_ART,LAW,PRODUCT,PERCENT,EVENT,LANGUAGE
or4t0a,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
or7x1k,10,7,5,2,5,0,3,0,0,1,0,0,0,0,0,0,0,0
or7431,2,14,20,0,15,0,7,4,0,2,2,4,0,0,0,0,1,0
or6v75,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
or6ivd,6,4,10,6,13,0,7,1,2,0,0,0,0,0,0,0,0,1
or5ut9,5,9,12,0,6,0,4,1,4,5,0,4,0,0,0,0,0,0
or55ci,4,7,11,0,26,0,4,1,0,2,1,1,1,0,0,1,0,0
or4syo,31,18,12,4,17,8,17,4,1,1,3,2,0,0,0,0,0,0
or4qmo,17,1,5,0,11,0,4,0,1,0,0,0,0,0,2,0,0,0
or4i9m,5,2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
or4aqf,7,8,7,0,2,0,3,0,0,2,2,0,0,0,0,0,0,0
or3q0v,13,16,22,1,10,1,13,2,1,0,0,0,0,0,2,0,0,0
or3htd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
or3gwn,9,7,1,0,1,0,2,0,1,0,4,1,0,0,0,0,0,0
or2p0i,27,16,18,9,29,0,7,4,0,4,0,5,9,0,0,1,0,0
orftbs,19,13,5,3,12,0,2,2,1,0,0,0,1,0,0,3,0,0
orfpx2,5,12,3,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0
orfozu,3,5,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0
orf6r8,13,7,4,4,6,0,3,0,1,1,0,0,1,0,0,1,1,0
orewui,26,6,12,3,13,0,2,2,3,0,0,0,1,0,0,8,0,0
orepr6,16,16,10,2,14,0,7,2,4,2,0,0,0,0,0,1,0,0
oreotr,10,6,1,3,7,0,1,0,3,0,0,0,0,1,0,2,0,0
orek41,20,2,8,0,1,0,4,7,5,2,8,0,2,0,1,0,0,0
ore5jb,10,1,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
ordqy9,31,18,12,4,17,8,17,4,1,1,3,2,0,0,0,0,0,0
ordc87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ord7q2,6,1,1,0,4,0,4,0,1,0,0,0,1,0,0,1,0,0
orcv3t,7,3,7,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0
